move	target	prob	A	B	C	D	S	Hit	Eva	PSN	PAR	BRN	SLP	FLZ	confusion	flinch	drain	recoil	mis_recoil	cost
オーロラビーム	1	0.1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
じゃれつく	1	0.1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
はるのあらし	1	0.3	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
うらみつらみ	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
とびかかる	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
トロピカルキック	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ひやみず	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ワイドブレイカー	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
アクアブレイク	1	0.2	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
かみくだく	1	0.2	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
シャドーボーン	1	0.2	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
アイアンテール	1	0.3	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
３ぼんのや	1	0.5	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
いわくだき	1	0.5	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
シェルブレード	1	0.5	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ブレイククロー	1	0.5	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ｇのちから	1	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ほのおのムチ	1	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
らいめいげり	1	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ムーンフォース	1	0.3	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ミストボール	1	0.5	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ソウルクラッシュ	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
バークアウト	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
はいよるいちげき	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
マジカルフレイム	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
むしのていこう	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
エナジーボール	1	0.1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
きあいだま	1	0.1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
サイコキネシス	1	0.1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
シードフレア	1	0.4	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
シャドーボール	1	0.2	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
だいちのちから	1	0.1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
むしのさざめき	1	0.1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ようかいえき	1	0.1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ラスターカノン	1	0.1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ラスターパージ	1	0.5	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
アシッドボム	1	1	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
りんごさん	1	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ルミナコリジョン	1	1	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
あわ	1	0.1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
エレキネット	1	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
からみつく	1	0.1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
がんせきふうじ	1	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
こがらしあらし	1	0.3	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
こごえるかぜ	1	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
こごえるせかい	1	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
じならし	1	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
とびつく	1	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
ドラムアタック	1	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
バブルこうせん	1	0.1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
マッドショット	1	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
ローキック	1	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
オクタンほう	1	0.5	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
グラスミキサー	1	0.5	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
だくりゅう	1	0.3	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
どろかけ	1	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
どろばくだん	1	0.3	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
ナイトバースト	1	0.4	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
ミラーショット	1	0.3	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
メタルクロー	0	0.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
コメットパンチ	0	0.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
グロウパンチ	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
はがねのつばさ	0	0.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ダイヤストーム	0	0.5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
バリアーラッシュ	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ほのおのまい	0	0.5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
チャージビーム	0	0.7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
しんぴのちから	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
フレアソング	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
アクアステップ	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
オーラウイング	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
オーラぐるま	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
くさわけ	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
こうそくスピン	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ニトロチャージ	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
あやしいかぜ	0	0.1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
げんしのちから	0	0.1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ぎんいろのかぜ	0	0.1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
キラースピン	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
クロスポイズン	1	0.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
シェルアームズ	1	0.2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
スモッグ	1	0.4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ダストシュート	1	0.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ダブルニードル	1	0.2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
どくづき	1	0.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
どくばり	1	0.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
どくばりセンボン	1	0.5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ヘドロウェーブ	1	0.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ヘドロこうげき	1	0.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ヘドロばくだん	1	0.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ポイズンアクセル	1	0.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ポイズンテール	1	0.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
どくどくのキバ	1	0.5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
