name	type	category	power	hit	pp	protect	subst	gold	mirror
アクアリング	みず	変化	0	10000	20	0	0	0	0
あくび	ノーマル	変化	0	10000	10	1	1	1	1
あくまのキッス	ノーマル	変化	0	75	10	1	1	1	1
あさのひざし	ノーマル	変化	0	10000	5	0	0	0	0
あまいかおり	ノーマル	変化	0	100	20	1	1	1	1
あまえる	フェアリー	変化	0	100	20	1	1	1	1
あまごい	みず	変化	0	10000	5	0	0	0	0
あやしいひかり	ゴースト	変化	0	100	10	1	1	1	1
アロマセラピー	くさ	変化	0	10000	5	0	0	0	0
アロマミスト	フェアリー	変化	0	100	20	0	0	0	0
アンコール	ノーマル	変化	0	100	5	1	0	1	1
いえき	どく	変化	0	100	10	1	1	1	1
いかりのこな	むし	変化	0	10000	20	0	0	0	0
いたみわけ	ノーマル	変化	0	10000	20	1	1	1	1
いちゃもん	あく	変化	0	100	15	1	1	1	1
いとをはく	むし	変化	0	95	40	1	1	1	1
いのちのしずく	みず	変化	0	10000	10	0	0	0	0
いばる	ノーマル	変化	0	85	15	1	1	1	1
いやしのすず	ノーマル	変化	0	10000	5	0	0	0	0
いやしのねがい	エスパー	変化	0	10000	10	0	0	0	0
いやしのはどう	エスパー	変化	0	10000	10	1	1	1	1
いやなおと	ノーマル	変化	0	85	40	1	0	1	1
うそなき	あく	変化	0	100	20	1	1	1	1
うたう	ノーマル	変化	0	55	15	1	0	1	1
うつしえ	ノーマル	変化	0	100	10	0	1	1	0
うらみ	ゴースト	変化	0	10000	10	0	1	1	1
エレキフィールド	でんき	変化	0	10000	10	0	0	0	0
えんまく	ノーマル	変化	0	100	20	1	1	1	1
おいかぜ	ひこう	変化	0	10000	15	0	0	0	0
おいわい	ノーマル	変化	0	10000	40	0	0	0	0
オーロラベール	こおり	変化	0	10000	20	0	0	0	0
おかたづけ	ノーマル	変化	0	10000	10	0	0	0	0
おきみやげ	あく	変化	0	100	10	1	1	1	0
おさきにどうぞ	ノーマル	変化	0	10000	15	0	0	0	0
おたけび	ノーマル	変化	0	100	30	1	0	1	1
おだてる	あく	変化	0	100	15	0	1	1	1
おちゃかい	ノーマル	変化	0	10000	10	1	0	1	0
おにび	ほのお	変化	0	85	15	1	1	1	1
ガードシェア	エスパー	変化	0	100	10	1	0	1	0
ガードスワップ	エスパー	変化	0	100	10	1	1	1	0
かいでんぱ	でんき	変化	0	100	15	1	1	1	1
かいふくふうじ	エスパー	変化	0	100	15	1	1	1	1
かえんのまもり	ほのお	変化	0	10000	10	0	0	0	0
かげぶんしん	ノーマル	変化	0	10000	15	0	0	0	0
かたくなる	ノーマル	変化	0	10000	30	0	0	0	0
かなしばり	ノーマル	変化	0	100	20	1	0	1	1
からにこもる	みず	変化	0	10000	40	0	0	0	0
からをやぶる	ノーマル	変化	0	10000	15	0	0	0	0
きあいだめ	ノーマル	変化	0	10000	30	0	0	0	0
ギアチェンジ	はがね	変化	0	10000	10	0	0	0	0
キノコのほうし	くさ	変化	0	100	15	1	1	1	1
きりばらい	ひこう	変化	0	10000	15	1	0	1	1
きんぞくおん	はがね	変化	0	85	40	1	0	1	1
くすぐる	ノーマル	変化	0	100	20	1	1	1	1
グラスフィールド	くさ	変化	0	10000	10	0	0	0	0
くろいきり	こおり	変化	0	10000	30	0	0	0	0
くろいまなざし	ノーマル	変化	0	100	5	0	1	1	1
こうごうせい	くさ	変化	0	10000	5	0	0	0	0
こうそくいどう	エスパー	変化	0	10000	30	0	0	0	0
コーチング	かくとう	変化	0	100	10	1	0	1	0
コートチェンジ	ノーマル	変化	0	10000	100	0	0	0	0
コスモパワー	エスパー	変化	0	10000	20	0	0	0	0
コットンガード	くさ	変化	0	10000	10	0	0	0	0
このゆびとまれ	ノーマル	変化	0	10000	20	0	0	0	0
こらえる	ノーマル	変化	0	10000	10	0	0	0	0
こわいかお	ノーマル	変化	0	100	10	1	1	1	1
さいきのいのり	ノーマル	変化	0	10000	1	0	0	0	0
サイコフィールド	エスパー	変化	0	10000	10	0	0	0	0
サイドチェンジ	エスパー	変化	0	10000	15	0	0	0	0
さいはい	エスパー	変化	0	10000	15	1	0	1	0
さいみんじゅつ	エスパー	変化	0	60	20	1	1	1	1
さきおくり	あく	変化	0	10000	15	1	0	1	0
さむいギャグ	こおり	変化	0	10000	10	0	0	0	0
じこあんじ	ノーマル	変化	0	100	10	0	0	0	0
じこさいせい	ノーマル	変化	0	10000	5	0	0	0	0
しっぽきり	ノーマル	変化	0	10000	10	0	0	0	0
しっぽをふる	ノーマル	変化	0	100	30	1	1	1	1
じばそうさ	でんき	変化	0	10000	20	0	1	0	0
しびれごな	くさ	変化	0	75	30	1	1	1	1
ジャングルヒール	くさ	変化	0	10000	10	0	0	0	0
じゅうでん	でんき	変化	0	10000	20	0	0	0	0
じゅうりょく	エスパー	変化	0	10000	5	0	0	0	0
しょうりのまい	かくとう	変化	0	10000	10	0	0	0	0
しろいきり	こおり	変化	0	10000	30	0	0	0	0
