Name	投げダメージ	強化タイプ	半減タイプ	威力補正	消耗品	即時発動
あかいいと	10	None	None	1	0	0
あついいわ	60	None	None	1	0	0
あつぞこブーツ	80	None	None	1	0	0
いかさまダイス	30	None	None	1	0	0
いしずえのめん	60	None	None	1	0	0
いどのめん	60	None	None	1	0	0
いのちのたま	30	None	None	1.3	0	0
エレキシード	10	None	None	1	1	1
おうじゃのしるし	30	None	None	1	0	0
おおきなねっこ	10	None	None	1	0	0
おんみつマント	30	None	None	1	0	0
かいがらのすず	30	None	None	1	0	0
かえんだま	30	None	None	1	0	0
かたいいし	100	いわ	None	1.2	0	0
かまどのめん	60	None	None	1	0	0
からぶりほけん	80	None	None	1	1	0
かるいし	30	None	None	1	0	0
きあいのタスキ	10	None	None	1	1	0
きあいのハチマキ	10	None	None	1	0	0
きせきのたね	30	くさ	None	1.2	0	0
きゅうこん	30	None	None	1	1	0
きれいなぬけがら	10	None	None	1	0	0
ぎんのこな	10	むし	None	1.2	0	0
くっつきバリ	80	None	None	1	0	0
グラスシード	10	None	None	1	1	1
グランドコート	60	None	None	1	0	0
クリアチャーム	30	None	None	1	0	0
くろいてっきゅう	130	None	None	1	0	0
くろいヘドロ	30	None	None	1	0	0
くろいメガネ	30	あく	None	1.2	0	0
くろおび	30	かくとう	None	1.2	0	0
こうかくレンズ	10	None	None	1	0	0
こうこうのしっぽ	10	None	None	1	0	0
こころのしずく	30	None	None	1.2	0	0
こだわりスカーフ	10	None	None	1	0	0
こだわりハチマキ	10	None	None	1.5	0	0
こだわりメガネ	10	None	None	1.5	0	0
ゴツゴツメット	60	None	None	1	0	0
サイコシード	10	None	None	1	1	1
さらさらいわ	10	None	None	1	0	0
じしゃく	30	でんき	None	1.2	0	0
しめつけバンド	30	None	None	1	0	0
しめったいわ	60	None	None	1	0	0
じゃくてんほけん	80	None	None	1	1	0
じゅうでんち	30	None	None	1	1	0
シルクのスカーフ	10	ノーマル	None	1.2	0	0
しろいハーブ	10	None	None	1	1	1
